bias_imp: 0.5  best_acc1:86.29,  Param:514123.0,  Macs:86539306.0
bias_imp: 0.5  best_acc1:87.66,  Param:357556.0,  Macs:66080992.0
bias_imp: 0.5  best_acc1:90.03,  Param:327898.0,  Macs:57884863.0
bias_imp: 0.1  best_acc1:90.66,  Param:375660.0,  Macs:75024513.0
bias_imp: 0.1  best_acc1:92.59,  Param:390732.0,  Macs:73979265.0
bias_imp: 0.1  best_acc1:92.37,  Param:393008.0,  Macs:77045463.0
bias_imp: 0.01  best_acc1:93.68,  Param:560223.0,  Macs:85144373.0
bias_imp: 0.01  best_acc1:93.32,  Param:597912.0,  Macs:75072832.0
bias_imp: 0.01  best_acc1:93.63,  Param:573024.0,  Macs:81071658.0
bias_imp: 0.0  best_acc1:93.84,  Param:555432.0,  Macs:84680128.0
bias_imp: 0.0  best_acc1:93.78,  Param:575592.0,  Macs:80071360.0
bias_imp: 0.0  best_acc1:93.92,  Param:540312.0,  Macs:89256640.0
#importance = item.data.pow(2).cpu() * norm + torch.sign(bias) * bias.pow(2)*item.data.pow(2).cpu()
bias_imp: 0.1  best_acc1:88.19,  Param:348234.0,  Macs:63016416.0
bias_imp: 0.1  best_acc1:92.69,  Param:508297.0,  Macs:73716849.0
bias_imp: 0.1  best_acc1:87.92,  Param:304783.0,  Macs:59875881.0
#importance = item.data.pow(2).cpu() * norm * torch.sign(bias) * bias.pow(2)
bias_imp: 0.1  best_acc1:87.93,  Param:436516.0,  Macs:76375791.0
bias_imp: 0.1  best_acc1:92.04,  Param:391275.0,  Macs:56124 801.0
bias_imp: 0.1  best_acc1:91.49,  Param:321078.0,  Macs:57846942.0
#importance = item.data.pow(2).cpu() * norm * bias.pow(2)
bias_imp: 0.1  best_acc1:93.82,  Param:522558.0,  Macs:84539529.0
bias_imp: 0.1  best_acc1:93.82,  Param:542635.0,  Macs:82367157.0
bias_imp: 0.1  best_acc1:93.4,  Param:577424.0,  Macs:74173994.0
bias_imp: 0.1  best_acc1:93.46,  Param:536550.0,  Macs:87211999.0
#importance = item.data.pow(2).cpu() * norm * torch.where(bias>0,bias,zero).pow(2)
bias_imp: 0.1  best_acc1:88.34,  Param:97499.0,  Macs:24195351.0
bias_imp: 0.1  best_acc1:92.29,  Param:301089.0,  Macs:64026128.0
bias_imp: 0.1  best_acc1:88.75,  Param:99919.0,  Macs:31743361.0

